,agapostemon virescens,andrena rudbeckiae,apis mellifera,augochlorella aurata,bombus bimaculatus,bombus griseocollis,calliopsis andreniformis,calliopsis nebraskensis,dieunomia heteropoda,hylaeus affinis,hylaeus mesillae,lasioglossum morph 1,lasioglossum morph 31,lasioglossum morph 7,megachile montivaga,melissodes bimaculatus,nomia universitalis,triepeolus donatus
asc sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
capbur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cirarv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
dalpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daucar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
descan,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
eri sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eryyuc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
helhel,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
melalb,0,0,0,0,0,0,0,0,0,2,4,0,0,1,0,0,1,0
meloff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
monfis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
oxa sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
passat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
permac,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
pla sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pycten,0,0,0,1,0,0,0,0,3,6,5,1,1,0,0,1,0,1
ratpin,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sillac,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sola sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taroff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tripra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trirep,0,0,3,0,0,1,4,1,0,0,2,0,0,0,0,0,1,0
