,agapostemon virescens,andrena rudbeckiae,apis mellifera,bombus auricomus,bombus griseocollis,bombus impatiens,calliopsis andreniformis,dieunomia heteropoda,halictus ligatus,hylaeus affinis,hylaeus mesillae,lasioglossum morph 1,megachile brevis,megachile mendica,melissodes bimaculatus,melissodes niveus,nomada articula,nomia universitalis,triepeolus lunatus
conarv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
descan,0,0,0,0,2,1,0,1,0,0,0,0,0,1,5,0,0,0,0
eryyuc,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
hel sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
helhel,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
melalb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meloff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
monfis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
phyvir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pla sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pycten,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,1
ratpin,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rud sp,0,5,0,0,0,0,0,1,5,0,0,0,0,0,0,0,3,0,0
silint,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sillac,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sola sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taroff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tripra,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
trirep,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0
vervir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zizaur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
