,andrena cressonii cressonii,andrena krigiana,andrena wilkella,andrena w-scripta,apis mellifera,augochlorella aurata,calliopsis nebraskensis,ceratina mikmaqi,dufourea novaeangliae,halictus confusus,halictus ligatus,halictus parallelus,halictus rubicundus,hylaeus affinis,hylaeus mesillae,lasioglossum morph 10,lasioglossum morph 31,megachile brevis,megachile montivaga,pseudopanurgus labrosus
achmil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
amb sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daucar,0,0,0,0,0,0,0,0,0,3,0,1,0,1,2,0,0,0,0,0
echpal,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
eri sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
helhel,0,1,0,1,0,3,1,0,0,0,4,1,0,0,0,0,1,0,0,1
medfal,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
monfis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
passat,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
ratpin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rud sp,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
taroff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trihyb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tripra,9,0,1,0,2,1,0,0,0,0,3,0,1,0,0,0,0,1,0,0
zizaur,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
