,agapostemon virescens,apis mellifera,augochlorella aurata,bombus auricomus,bombus bimaculatus,bombus griseocollis,bombus impatiens,ceratina mikmaqi,halictus confusus,halictus ligatus,halictus parallelus,hylaeus affinis,hylaeus mesillae,lasioglossum morph 1,lasioglossum morph 10,lasioglossum morph 11,lasioglossum morph 12,lasioglossum morph 5,megachile brevis,melissodes dentriventis,melissodes desponsus,melissodes druriellus
arclap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chafas,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cir sp,3,2,3,1,1,1,3,2,0,5,1,0,0,1,0,0,1,1,0,0,3,0
cirarv,1,1,1,0,1,0,0,0,0,8,0,0,0,1,0,2,0,0,0,0,6,7
dalpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
daucar,1,7,0,0,1,0,0,0,4,4,2,1,1,0,1,0,0,0,0,0,1,0
descan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
eri sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hel sp,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
helhel,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
lacser,1,0,1,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0
medfal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ratpin,1,2,1,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0
rud sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sillac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sola sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
soli sp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taroff,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tripra,0,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trirep,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
