,andrena ceanothi,andrena ziziae,ceratina calcarata,ceratina dupla,ceratina mikmaqi,halictus confusus,halictus ligatus,heriades leavitti,hylaeus affinis,hylaeus annulatus,hylaeus fedorica,hylaeus illinoisensis,hylaeus mesillae,lasioglossum morph 18,lasioglossum morph 26,megachile campanulae,nomada australis,nomada parva
capbur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
galapa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
medlup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meloff,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
passat,0,3,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
taroff,0,0,1,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0
trihyb,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tripra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trirep,0,0,0,1,4,1,0,1,1,0,0,0,0,0,0,1,0,0
zizaur,2,64,0,1,1,1,1,0,13,10,1,1,7,1,0,0,1,1
