,agapostemon virescens,andrena cressonii cressonii,andrena distans,andrena rudbeckiae,augochlorella aurata,bombus auricomus,bombus bimaculatus,bombus griseocollis,bombus impatiens,calliopsis andreniformis,calliopsis nebraskensis,ceratina mikmaqi,halictus confusus,halictus ligatus,halictus parallelus,halictus rubicundus,holcopasites calliopsidis,hylaeus affinis,hylaeus mesillae,lasioglossum morph 1,lasioglossum morph 10,lasioglossum morph 11,lasioglossum morph 12,lasioglossum morph 13,lasioglossum morph 15,lasioglossum morph 18,lasioglossum morph 2,lasioglossum morph 26,lasioglossum morph 31,lasioglossum morph 33,lasioglossum morph 5,lasioglossum morph 6,lasioglossum morph 7,megachile albatarsis,megachile latimanus,pseudopanurgus albitarsis,pseudopanurgus labrosus,triepeolus lunatus
asc sp,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,3,7,1,1,1,1,2,1,3,0,0,0,4,0,1,1,0,0,0,0
cirarv,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
echpal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eri sp ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
helhel,1,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
medsat,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ratpin,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rud sp,0,0,0,1,0,0,0,0,0,0,2,2,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0
sola sp,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
traohi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tripra,0,6,2,0,0,2,3,4,2,2,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,1,1,0,1,2,1,0,0,1,0,0,0
trirep,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
