,andrena rudbeckiae,bombus bimaculatus,bombus griseocollis,bombus impatiens,halictus confusus,halictus ligatus,halictus rubicundus,megachile latimanus,melissodes bimaculatus,melissodes denticulatus,melissodes niveus,melissodes trinodis,svastra obliqua
asc sp,0,0,0,0,0,0,0,0,0,0,0,0,0
chafas,0,0,0,0,0,0,0,0,0,0,0,0,0
cirarv,0,0,0,1,0,0,0,0,0,0,0,0,0
dalpur,0,0,0,0,0,0,0,0,0,0,0,0,0
descan,0,0,0,0,0,0,0,0,0,0,0,0,0
eryyuc,0,2,2,6,1,3,1,2,0,0,0,0,0
hel sp,0,0,0,0,0,0,0,0,0,0,0,0,0
helhel,0,0,0,0,0,0,0,0,0,0,0,0,0
monfis,0,0,0,0,0,0,0,0,0,0,0,0,0
passat,0,0,0,0,0,0,0,0,0,0,0,0,0
ratpin,9,9,12,3,0,10,0,0,2,1,1,5,1
rud sp,0,0,0,0,0,0,0,0,0,0,0,0,0
ruehum,0,0,0,0,0,0,0,1,0,0,0,0,1
sola sp,0,0,0,0,0,0,0,0,0,0,0,0,0
